
MODELO:

-> Modelo Entrenado: Árbol
-> Estrategia de atributos continuos: ContinuousOps.FIXED

EVALUACIÓN CRUZADA (10 particiones):

-> Total de ejemplos: 150
-> Ejemplos de entrenamiento: 135
-> Ejemplos de evaluación: 15


--- Partición N° 1 ---

-> Accuracy: 0.9333333333333333
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          6             0               0        

b'Iris-versicolor'      0             4               1        

b'Iris-virginica'       0             0               4        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
--> Precision: 1.0
--> Recall: 0.8
--> F-Measure: 0.888888888888889

-> Evaluación para b'Iris-virginica': 
--> Precision: 0.8
--> Recall: 1.0
--> F-Measure: 0.888888888888889


--- Partición N° 2 ---

-> Accuracy: 0.8
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          6             0               0        

b'Iris-versicolor'      0             4               3        

b'Iris-virginica'       0             0               2        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
--> Precision: 1.0
--> Recall: 0.5714285714285714
--> F-Measure: 0.7272727272727273

-> Evaluación para b'Iris-virginica': 
--> Precision: 0.4
--> Recall: 1.0
--> F-Measure: 0.5714285714285715


--- Partición N° 3 ---

-> Accuracy: 1.0
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          5             0               0        

b'Iris-versicolor'      0             2               0        

b'Iris-virginica'       0             0               8        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-virginica': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0


--- Partición N° 4 ---

-> Accuracy: 1.0
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          6             0               0        

b'Iris-versicolor'      0             7               0        

b'Iris-virginica'       0             0               2        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-virginica': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0


--- Partición N° 5 ---

-> Accuracy: 0.8
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          4             0               0        

b'Iris-versicolor'      0             5               0        

b'Iris-virginica'       0             3               3        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
--> Precision: 0.625
--> Recall: 1.0
--> F-Measure: 0.7692307692307693

-> Evaluación para b'Iris-virginica': 
--> Precision: 1.0
--> Recall: 0.5
--> F-Measure: 0.6666666666666666


--- Partición N° 6 ---

-> Accuracy: 0.6666666666666666
-> Confusion Matrix: 

                b'Iris-setosa' b'Iris-versicolor' b'Iris-virginica' 

b'Iris-setosa'          5             0               0        

b'Iris-versicolor'      0             4               5        

b'Iris-virginica'       0             0               1        


-> Evaluación para b'Iris-setosa': 
--> Precision: 1.0
--> Recall: 1.0
--> F-Measure: 1.0

-> Evaluación para b'Iris-versicolor': 
